id,label
train_0,0.0038516889693130094
train_1,0.0037655955063883167
train_2,0.0025815480622878033
train_3,0.0042936286374018725
train_4,0.02535891685703046
train_5,0.08764340620477874
train_6,0.0041447127804781075
train_7,0.004710784169160851
train_8,0.004914072096721879
train_9,0.03670499732548767
train_10,0.043509252670899626
train_11,0.017056586366470224
train_12,0.027281559306380085
train_13,0.0018356708705591289
train_14,0.0094000343899308
train_15,0.006924796718790737
train_16,0.00029798628788923776
train_17,0.007905557763936385
train_18,0.031936200370496985
train_19,0.004675675221697775
train_20,0.018163568042991067
train_21,0.03967180139762743
train_22,0.0015991983538176599
train_23,0.060219937854359785
train_24,0.00368568056872827
train_25,0.015825003146675624
train_26,0.04910542940118864
train_27,0.003492704130988905
train_28,0.01522569365801255
train_29,0.06806612351138899
train_30,0.9825027213002425
train_31,0.023008408454217748
train_32,0.0010572193529878307
train_33,0.013399582813802893
train_34,0.007944070214330997
train_35,0.023787859194165744
train_36,0.1594233709173726
train_37,0.024463843383419212
train_38,0.03976202579429823
train_39,0.3378495583835119
train_40,0.003162645077754648
train_41,0.0016628484583372906
train_42,0.006634741914322963
train_43,0.35416860191738203
train_44,0.008792423446123881
train_45,0.002567803376411468
train_46,0.004957070893008431
train_47,0.0186775788382586
train_48,0.9231730862306845
train_49,0.02352443827410772
train_50,0.014577431940314071
train_51,0.024750205087787143
train_52,0.27646294153622847
train_53,0.01507004252825509
train_54,0.013825935127701144
train_55,0.0029837673159200362
train_56,0.01700477241233588
train_57,0.009237362743584153
train_58,0.44056029818626985
train_59,0.003935157116237358
train_60,0.02258032008515394
train_61,0.06075172833128328
train_62,0.051276074431208886
train_63,0.003017833875363069
train_64,0.012756870619776994
train_65,0.0620654700768642
train_66,0.006044364337403776
train_67,0.1985956224851254
train_68,0.022015864555238105
train_69,0.12832521389963145
train_70,0.02955009653951838
train_71,0.03886001775965603
train_72,0.014721406682797361
train_73,0.07044391029992013
train_74,0.003235560789629092
train_75,0.017743801502876116
train_76,0.8587574224992849
train_77,0.001331645603656619
train_78,0.030788849203314043
train_79,0.16104728760829803
train_80,0.016192596687104127
train_81,0.08329471092332302
train_82,0.007480878956187437
train_83,0.005945307483732718
train_84,0.08207758513746723
train_85,0.0031119163261454953
train_86,0.0009758206111912575
train_87,0.002460257458773558
train_88,0.11284013528004126
train_89,0.08733581797635832
train_90,0.003220960921063702
train_91,0.04129767535692882
train_92,0.018031788330928947
train_93,0.010889053349978209
train_94,0.007373402562317149
train_95,0.019372958985389474
train_96,0.005446851471630826
train_97,0.08679990050969799
train_98,0.0338654319206122
train_99,0.0005979139430992693
train_100,0.011992793844659224
train_101,0.004895867114288385
train_102,0.0014475455834685371
train_103,0.006032037308909877
train_104,0.04190640459032154
train_105,0.01836060045724443
train_106,0.0070350200941965806
train_107,0.030333401692505417
train_108,0.0049715330738842
train_109,0.0031187908056645734
train_110,0.012796829555390176
train_111,0.00340603511927349
train_112,0.0015742540343735847
train_113,0.0027698970999465514
train_114,0.0015554521633310658
train_115,0.0048300739627271695
train_116,0.13198561154134375
train_117,0.15489646202899707
train_118,0.005059405046638173
train_119,0.03751250924888183
train_120,0.011998943037559657
train_121,0.030720168354103315
train_122,0.04481613941132833
train_123,0.021149313854523767
train_124,0.044045359362143086
train_125,0.11555183627583732
train_126,0.003460115843932183
train_127,0.16186546129660329
train_128,0.00873125261504028
train_129,0.00432550562862542
train_130,0.0017405197374411516
train_131,0.008634122863803075
train_132,0.010930267703232785
train_133,0.006414706077148422
train_134,0.004118421578734856
train_135,0.02672633317518587
train_136,0.0028191415612380394
train_137,0.3065911370296883
train_138,0.0026177856620002984
train_139,0.2140063127038279
train_140,0.8491295841278544
train_141,0.004366514744758154
train_142,0.002977629083703396
train_143,0.3188135988555362
train_144,0.014278181543854466
train_145,0.1605158216848778
train_146,0.014386199537074401
train_147,0.0029879564964583557
train_148,0.09015943653942146
train_149,0.06492536170964053
train_150,0.012629196658176418
train_151,0.024456743244098297
train_152,0.0037727620466861335
train_153,0.1270671928791883
train_154,0.0028424405831155007
train_155,0.05936123471253735
train_156,0.003226234815293358
train_157,0.0009090486162498043
train_158,0.002157009402170874
train_159,0.03175116774365469
train_160,0.018394940720446205
train_161,0.006777572725800971
train_162,0.18617671647017056
train_163,0.001962245735018458
train_164,0.11694536470647707
train_165,0.024715757148066397
train_166,0.0010413336800985165
train_167,0.0033391040880142307
train_168,0.003944591896814945
train_169,0.011723553359741411
train_170,0.21796218466791237
train_171,0.015385438245788198
train_172,0.022652489257470314
train_173,0.03530134820438247
train_174,0.0016488958818514086
train_175,0.0304677583550855
train_176,0.07541766335065966
train_177,0.02180854107114422
train_178,0.005598915758205248
train_179,0.07509463008555421
train_180,0.01992375129210801
train_181,0.0013026353997723633
train_182,0.002615529160282675
train_183,0.0062888540468192975
train_184,0.019361918974057816
train_185,0.0008726578960336597
train_186,0.7955008707745846
train_187,0.18692410104984553
train_188,0.04381475208283939
train_189,0.016032129180207345
train_190,0.001654945740833155
train_191,0.004520331241302115
train_192,0.0011901729388271193
train_193,0.009137222834155896
train_194,0.002301008818318093
train_195,0.016180110595305455
train_196,0.015582233834497517
train_197,0.02704605981954322
train_198,0.0032948829865807735
train_199,0.0215060383550271
train_200,0.48513090599683084
train_201,0.030344100486330065
train_202,0.10606488696037274
train_203,0.0024351733158734625
train_204,0.10319251997144625
train_205,0.041212497186876126
train_206,0.012478968225416326
train_207,0.18186422771220942
train_208,0.0019144660459051838
train_209,0.01700510170220942
